hard_word,easy_word,example
가격대,가격 범위,원하시는 가격대가 어느 정도인지요?
가공주,물탄주,주식회사의 설립이나 합병에서 현물 출자(現物出資) 따위의 취득 재산을 일부러 과대평가하여 발행한 주식은 가공주다.
가늠값,패리티 가격,지금의 상황으로는 이 주식의 값이 오를 것인지 가늠을 할 수 없다.
가도,운송업자나 창고업자들이 선하 증권이나 창고 증권을 나중에 받기로 하고 물품을 먼저 내주는 일.,운송업자나 창고업자들이 선하 증권이나 창고 증권을 나중에 받기로 하고 물품을 먼저 내주는 일
가맹 업체,"동맹이나 연맹, 단체에 가입한 업체.",카드사와 제휴를 맺은 가맹업체들은 할인 및 적립에 따른 비용 부담을 지는 대신 카드사로부터 고객 정보를 제공받고 있다.
가변비,변동 비,가변비는 일정 기간 동안 생산 설비를 이용하는 정도와 관계있는 비용이다.
가산법,공제 법,부가 가치란 운수 활동을 통하여 새로이 창출한 가치로서 이 조사에서는 부가 가치 항목을 합산하는 가산법에 의하여 부가 가치를 산정한다.
가수급,다른 사람의 주식이나 자금을 빌려 주식을 사고파는 일.,대주 제도는 증권 시장 측면에서는 주식 매수에 필요한 자금을 지원하는 융자와 주식 매도에 필요한 주식을 빌려주는 대주의 균형적인 발달을 통해 주식 시장에 가수급을 조절할 수 있다.
가주,임시 주권,판결에 따라 가주를 부여한다.
가트,관세 무역 일반 협정,가트에 따르면 이 계약은 폐지입니다.
감채,빚을 갚아 나가며 줄임.,빛을 갚아 나가며 줄임
개념주,기업의 실질적인 가치보다 시장 전망 따위를 고려할 때 성장성이나 수익성이 클 것으로 예상되는 종목의 주식.,지난 2일과 4일 미국 증시가 급락하면서 중국의 개념주들이 빠져나가고 기타 종목들이 그 자리를 대신했다.
개미,개미 투자자,개미들이 아닌 일부 큰손이 주식 시장을 좌우하고 있다.
거래 원,증권 회원,차량 일지와 수량과 매매한 상인만 알면 물건이 나온 곳과 거래원을 알아내는 것은 쉬운 일이다.
가증금,웃돈,구하기 힘든 약이라 웃돈을 주고 특별히 주문해서 사 왔다.
가치재,메리트재,가치재(merit goods)란 민간부문에서 생산․ 공급되고 있으나 이윤극대화 논리에 따른 생산량이 최적수준에 미치지 못하여 정부가 직접 공급에 개입하는 재화를 의미한다.
간접비,공통 비용,"여러 가지 제품의 생산에 공통적으로 소요되는 비용. 간접 재료비, 간접 노동비, 간접 경비 따위가 이에 속한다."
간접환,간접 어음,제삼국의 중계를 통하여 거래되는 외국환 어음을 간접환이라 한다.
갑구,"부동산 등기부에서, 대상 부동산의 소유권에 관한 사항을 기재하는 부분",갑구에서는 해당 부동산의 소유권을 표시합니다.
갑판적,갑판 적재,갑판적 화물에 대한 운송인의 책임범위
개량물,"인공의 힘이 가미되어 개량된 토지 위에 설치한 물건. 도로, 잔디, 전선 따위의 모든 인공물이 포함됨","토지개량물이란 항구적인 토지부가물을 말하며 토지, 노동, 자본을 결합하여 토지개량물을 생산하는 활동을 부동산개발이라고 한다."
개장일,1년 중 처음으로 증권 시장을 열어 업무를 시작하는 날.,올해는 1월 2일이 일요일이라서 3일이 증권 시장의 개장일이다.
개입점,고정 환율 제도하에서 국가가 개입해야 하는 환율 변동 폭의 상한선과 하한선.,개입점이 자주 나타난다.
건가,거래소에서 이루어지는 매매의 약정 가격.,건가가 너무 높게 잡혔다.
건망주,양수인이 기명 주식의 명의 변경을 잊어버려서 전 주인인 양도인에게 할당되는 신주.,건망주가 생겼다.
